Id_index,Job_Title,company,Sector,region,technologies,skills,certifications,soft_skills,languages,experience_years,Type_Contrat,level_study,Tasks,source
14,AI Researcher,um6p,Education,Not specified,"Python, R, deep learning models, CNNs, RNNs, LSTMs","Python, R, Artificial Intelligence, Data Science, Climate Science, Geoinformatics, Applied and Computational Mathematics, deep learning models, CNNs, RNNs, LSTMs, remote sensing datasets, high-performance computing",,"Teamwork, Problem solving, Collaborative work, Communication",English,3 ans,NOT SPECIFIED,Bac +8,"Improve the accuracy of predicting climate variables like precipitation, temperature, and soil moisture by leveraging large multi-source datasets from remote sensing, IoT sensors, and climate models, Design and implement deep learning models for forecasting extreme weather events such as floods, droughts, and heatwaves, integrating probabilistic approaches to account for uncertainties, Use data assimilation techniques to combine observational data with AI models, improving real time forecasting accuracy, Collaborate with hydrologists, climatologists, and data scientists to ensure models are well grounded in scientific understanding, Design and conduct fieldwork to validate model predictions and improve the performance of deep learning approaches, Publish research findings in high-impact scientific journals and present the results at international conferences, Contribute to the supervision of Master’s and Ph.D students.",google
15,AI Researcher,infomineo,Technology and IT Services,Casablanca-Settat,Not Specified,Not Specified,,"Communication, Teamwork, Adaptability",English,1 an,NOT SPECIFIED,Bac +3,"Analyze research requests, Gather data, Verify data accuracy, Package data in a structured manner, Assess existing research sources, Collaborate with clients and managers, Use creativity to support internal development projects.",Linkedin
16,AI Researcher,infomineo,Technology and IT Services,Casablanca-Settat,Not Specified,Not Specified,,"Problem solving, Creativity, Teamwork","English, German",Not Specified,NOT SPECIFIED,Bac +3,"Analyze research requests, Gather data, Verify data accuracy, Package data in a structured manner, Assess existing research sources, Collaborate with clients and managers, Support internal development projects.",Linkedin
17,AI Researcher,infomineo,Technology and IT Services,Casablanca-Settat,Not Specified,Not Specified,,"Problem solving, Creativity, Teamwork","English, Italian",1 an,NOT SPECIFIED,Bac +3,"Analyser les demandes de recherche, rassembler des données, vérifier leur exactitude et les présenter de manière structurée et facile à comprendre, évaluer les sources de recherche existantes et les stratégies de collecte de données, collaborer avec les clients et les gestionnaires sur l'état de votre travail, utiliser votre créativité et votre expertise pour soutenir les projets de développement interne d'Infomineo.",linkedin
18,AI Researcher,infomineo,Technology and IT Services,Casablanca-Settat,Not Specified,Not Specified,,"Communication, Leadership, Teamwork","English, French",2 ans,NOT SPECIFIED,Bac +3,"Analyzing the client's request and clarifying it with the client if needed, Defining the research strategy (indicating sources to be checked, prioritizing tasks, setting a time budget for each task), Clarifying with the client the format to be used for the deliverables (Excel, Word or PowerPoint), Gathering data from primary (interviews) and secondary (web and databases) sources, Suggesting alternatives when the required information is not available, Analyzing the data and checking for accuracy (Quality assurance), Packaging the deliverables in a structured way and providing backup information, Reporting to the Managers (on the status of the request: closed, on-hold; discussing relevancy of methodologies/approaches used to conduct the research), Preparing monthly newsletter for the internal use",linkedin
19,AI Researcher,um6p,Education,Not specified,Not Specified,Not Specified,,"Communication, Organizational, Teamwork","French, Arabic, English",Not Specified,NOT SPECIFIED,Bac +5,"Propose and, as appropriate, implement innovations in the different stages of a project in coordination with Principal Investigator, Maintain and grow effective relationships with partner organizations, Oversee and lead the field research activities, including the implementation of the evaluation, according to the research design in coordination with partners, Liaising with field staff running the evaluations and collaborating with them including travel to research field sites, Conduct background research in conjunction with field research activities, Designing survey questionnaires, conducting qualitative research, refining study design and surveying instruments, Supervise in person or phone data collection and ensure the good quality of the data, Assist with the preparation of administrative databases, Assist with data cleaning and preliminary data analysis, Any other work assigned by Principal Investigators.",Linkedin
20,AI Researcher,um6p,Education,Not specified,"R, econometrics","R, econometrics, French, Darija",,"Communication, Organizational, Teamwork, Self-motivating","English, French, Darija, Arabic",1 an,NOT SPECIFIED,Bac +5,"Designing and piloting survey questionnaires, managing survey teams, monitoring, Data collection, cleaning administrative data, analyzing preliminary results, Coordinating with partners, and summarizing findings for policymakers.",linkedin
21,AI Researcher,um6p,Education,Not specified,"Stata, SAS, R","Stata, SAS, R, French, Arabic, English, economics, public policy, math, statistics, microeconomics, econometrics, advanced mathematics, development research, quantitative skills, organizational skills, communication skills.",,"Communication, Teamwork","French, Arabic, English",Not Specified,NOT SPECIFIED,Bac +5,"designing survey questionnaires, conducting qualitative research, refining study design and surveying instruments, supervising in person or phone data collection and ensuring the good quality of the data, assisting with the preparation of administrative databases, assisting with data cleaning and preliminary data analysis, any other work assigned by Principal Investigators",Linkedin
22,AI Researcher,um6p,Education,Not specified,Not Specified,Not Specified,,"Communication, Team player, Self motivating, Organizational, Flexible, Relationship management","French, Arabic, English",Not Specified,NOT SPECIFIED,Bac +5,"Propose and, as appropriate, implement innovations in the different stages of a project in coordination with Principal Investigators, Maintain and grow effective relationships with partner organizations, Oversee and lead the field research activities, including the implementation of the evaluation, according to the research design in coordination with partners, Liaising with field staff running the evaluations and collaborating with them including travel to research field sites, Conduct background research in conjunction with field research activities, Designing survey questionnaires, conducting qualitative research, refining study design and surveying instruments, Supervise in person or phone data collection and ensure the good quality of the data, Assist with the preparation of administrative databases, Assist with data cleaning and preliminary data analysis, Any other work assigned by Principal Investigators, Facilitate, strengthen and maintain effective and efficient communication as the primary contact point with Principal Investigators, Provide periodic updates on project activities to PIs and subject experts, Participate in the planning and design of any outreach activities, Ensure that project activities are on schedule and prepare project update reports according to agreements with funders and partners.",linkedin
23,AI Researcher,infomineo,Technology and IT Services,Casablanca-Settat,Microsoft applications,"Business research, Content Services, Graphic Design, Data Analytics, research, consulting, data analysis, data processing, data analytics, market research, communication skills, attention to detail, analytical skills, numerical skills, Microsoft applications, multitasking, project management, troubleshooting, negotiation, leadership skills, coaching, intellectual curiosity, positive attitude, self-motivated, commitment to excellence, collaboration, proactive, integrity.",,"Communication, Analytical, Problem solving, Teamwork",English,4 ans,NOT SPECIFIED,Bac +3,"Do a proper scoping for complex research assignments & create a detailed business analysis, Outline problems & recommend ideas on approaches, methodologies as per the business need, Conduct in-depth desk research using a variety of publicly available sources & databases, Master data gathering approaches by geography & industry, Integrate among different research approaches and methodologies, Generate insights from the collected data & independently articulate executive summaries, Use data to communicate a rational and insightful ""story"" to clients to answer their business questions, Optimize the design of research instruments and materials (discussion guide, surveys, etc.), Manage multiple assignments and competing priorities while respecting deadlines, Maintain high service standards and problem-solve effectively, Influence various stakeholders and work closely to determine acceptable solutions to problems, Keep an autonomous structure in work approaches & ensure best practices in research analysis, Train, develop and mentor junior colleagues, Share detailed feedback for the evaluation cycles and identify team development needs with managers, Contribute to Infomineo internal development projects.",Linkedin
24,AI Researcher,um6p,Education,Not specified,"STATA, R","STATA, R, French, English, Arabic, evaluation methods, randomized controlled trials",,"Communication, Teamwork, Problem solving",Not Specified,3 ans,NOT SPECIFIED,Bac +5,"Collaborate with researchers on the design and implementation of data collection plans, Oversee field research activities, including the implementation of the evaluation, according to the research design in coordination with researchers and partners, Supervise of a maximum of two Research Associates working on the projects, Assist with hiring survey firms, including drafting terms of reference, Maintain and grow effective relationships with partner organizations, Play an active role in researchers and research associate’s onboarding, Collaborate with research staff throughout the project lifecycle, Ensure organizational research protocols are respected through all research activities, report to J-PAL Global and J-PAL MENA, Lead local institutional review board applications, Engage with local authorities and undertake administrative procedures to ensure all data collection authorizations are obtained, Develop research public goods, under the supervision of J-PAL Global and J-PAL MENA research teams, Provide periodic updates on project activities to researchers and subject experts, Participate in the planning and design of activities undertaken in collaboration with implementing partners, Ensure that project activities are on schedule and prepare project update reports according to agreements with funders and partners, Any other work assigned by the MEL’s Directors.",linkedin
25,AI Researcher,infomineo,Technology and IT Services,Casablanca-Settat,Not Specified,"Strategy Consulting, Management Skills, Research Databases, Business Research, Investment Research, Secondary Research, English, French or German, Arabic.",,"Communication, Leadership, Active listening, Dependability, Reliability, Coaching, Cultural awareness, Collaboration, Integrity, Negotiation","English, French, German, Spanish, Portuguese, Arabic",5 ans,CDI,Bac +5,"Perform research, answer client requests and autonomously lead a team of analysts and associates in business and investment research, Being involved in company BD processes, notably through drafting proposals, Train, lead and coach a team, clarifying each team member's responsibilities and setting up clear processes, Be the primary contact for our clients, perform QA and set up QA processes for the team ensuring that requests are verified, reliable and up to the very high client standards, Manage projects, setting priorities and budget time for each component, Manage a team, clarify objectives, timeline, and responsibilities, Act as professional development coach, by providing coaching, training and development career path for the team, Ensure a high level of motivation within the team to deliver excellence",linkedin
26,AI Researcher,um6p,Education,Not specified,"STATA, R","STATA, R, French, English, Arabic, Economics, Development, Public Policy, Statistics, Randomized Control Trials, Data collection techniques, Project management, Budget management, Team player, Problem solving, Time management",,"Mentoring, Sharing knowledge, Teamwork, Communication, Leadership, Decision making",Not Specified,2 ans,NOT SPECIFIED,Bac +5,"Build and coordinate MEL’s research infrastructure, provide guidance and oversight to Research Associates, collaborate with Principal Investigators on data collection plans, ensure compliance with research protocols, support hiring and onboarding of local team members, assist with hiring survey firms, manage project timelines, lead local Institutional Review Board applications, engage with local authorities for data collection authorizations, build and maintain relationships with researchers, potential partners, and donors, create technical resources and public goods, participate in cross-vertical organizational initiatives, represent J-PAL in meetings and conferences.",Linkedin
27,BI Developer,admiral,Financial Services,Casablanca-Settat,"SQL, SAS, Cognos, Power BI, Talend, ETL","SQL, SAS, Cognos, Power BI, Talend, ETL, RGPD, CCPA, communication, analytique, résolution de problèmes, sécurité de l'information, gestion des risques, technologie",,"Leadership, Communication, Organizational, Time management, Analytical, Problem solving",English,3 ans,NOT SPECIFIED,Not Specified,"Collecte, analyse et interprétation des données commerciales, Rédaction des spécifications fonctionnelles et techniques, Assurer des points réguliers avec les différentes parties prenantes, Développement et maintenance des tableaux de bord, des rapports et des visualisations, Collaboration avec les équipes internes pour comprendre les besoins en matière de reporting et d'analyse de données, Réalisation d'analyses approfondies pour identifier les tendances et les insights pertinents, Contribution à l'élaboration de stratégies basées sur les données, Fourniture de recommandations pour améliorer les performances et l'efficacité opérationnelle, Participation à des projets d'intégration de données et de gestion de la qualité des données.",indeed
28,BI Developer,teleperformance,Business Process Outsourcing,Not Specified,"Power BI, SQL, Python, R","Power BI, SQL, Python, R",,"Problem solving, Teamwork, Creativity","English, French, Arabic, German, Italian, Portuguese, Spanish",3 ans,NOT SPECIFIED,Bac +3,"Ideate, design, and implement a centralized Data Entry Platform to streamline data collection and validation, Develop and maintain scalable, automated reporting metrics and dashboards that track progress against key operational performance goals and initiatives, Develop automated workflows for data input, reducing manual errors and improving efficiency, Ensure data integrity, validation processes, and governance standards are maintained, Collaborate with engineering and operations teams to integrate the platform with existing databases and tools, Develop and maintain interactive Power BI dashboards and reports to track key business and operational metrics, Automate data extraction, transformation, and loading (ETL) processes from multiple sources, Collaborate with stakeholders to define reporting requirements and ensure data-driven decision-making, Conduct data analysis to identify trends, gaps, and improvement areas, Create and maintain data documentation both for an internal and external audience, Provide recommendations to stakeholders and leadership based on insights from BI reports, Ensure data accuracy, security, and compliance with organizational standards, Work closely with IT, Business Leadership, Product and Project Leads, and Operations teams to enhance data utilization, Train stakeholders on Power BI best practices and self-service analytics.",indeed
29,BI Developer,nomatis,Technology and IT Services,Rabat-Salé-Kénitra,Not Specified,Not Specified,,"Communication, Organizational skills, Teamwork, Self-motivating","English, French, Arabic",Not Specified,NOT SPECIFIED,Bac +5,"Accompagner les entreprises dans la digitalisation de leurs processus RH, Analyser, paramétrer et optimiser les outils SIRH, Piloter les projets de mise en place et d’évolution des solutions RH, Analyser et modéliser les données pour aider à la prise de décision, Développer et maintenir des tableaux de bord et rapports interactifs, Optimiser les performances des outils de BI, Piloter et coordonner les projets liés au Système d’Information RH, Superviser l’implémentation et l’évolution des outils RH, Manager une équipe et garantir la qualité des livrables, Assurer la gestion technique des projets IT, Coordonner les équipes de développement et d’intégration, Suivre les délais, budgets et livrables techniques, Analyser les besoins métiers et formaliser les exigences fonctionnelles, Assurer l’interface entre les équipes métiers et IT, Piloter les phases de cadrage, conception et validation des projets.",Dreamjob
30,BI Developer,altados by niji,Technology and IT Services,Casablanca-Settat,"SSIS, SnowSQL, Python, Snowflake, Batch, API","SSIS, SnowSQL, Python, Snowflake, Batch, API",,"Communication, Organizational skills, Attention to detail, Teamwork",English,Not Specified,FREELANCE,Not Specified,"Maintenir les chaînes de traitement existantes (SSIS, SnowSQL, Python), assurer la qualité et la disponibilité des données, Finaliser la migration d’anciennes chaînes de traitement vers notre nouveau datalake Snowflake, Participer aux ateliers avec les équipes métier pour collecter les besoins, Développer de nouvelles chaînes de traitement pour intégrer de nouvelles données dans le datalake (Batch, API), Implémenter les règles métier pour créer les tables et vues adaptées pour les métiers, Assurer la recette des données avec les PO et les équipes métier, Implémenter des algorithmes plus complexes basés sur le datalake en fonction des besoins (eg. Création d’un référentiel client unique, algorithmes de personnalisation, etc.)",linkedin
31,BI Developer,jobexpo.ma,Recruitment,Not specified,"SQL, Power BI, Tableau, QlikView, Oracle, MySQL","SQL, Power BI, Tableau, QlikView, Oracle, MySQL, Agile methodologies",Microsoft Certified: Data Analyst Associate,Collaboration,Not Specified,Not Specified,NOT SPECIFIED,Bac +3,"Collaborate with stakeholders to understand business requirements and translate them into technical specifications for BI solutions, Design and develop data models, ETL processes, and data warehouses to consolidate and integrate data from multiple sources, Develop and maintain interactive dashboards, reports, and data visualizations using BI tools such as Power BI, Tableau, or QlikView, Optimize BI solutions for performance, scalability, and usability to ensure efficient data retrieval and analysis, Implement data quality standards and ensure data accuracy, completeness, and consistency across BI solutions, Provide technical support and troubleshooting assistance to end-users to resolve BI-related issues and queries, Stay updated on emerging trends and technologies in BI, data analytics, and data visualization, Collaborate with cross-functional teams, including IT, business analysts, and data scientists, to deliver high-quality BI solutions aligned with business objectives, Conduct training sessions and workshops to educate users on BI tools and best practices for data analysis and reporting, Participate in the evaluation and selection of BI tools, platforms, and technologies to enhance our BI infrastructure and capabilities.",google
32,BI Developer,allowin,Business Process Outsourcing,Casablanca-Settat,"Power BI, ETL","Power BI, BI, ETL, Datawarehouse, Datamarts",,Detail oriented,"English, French",2 ans,CDI,Bac +3,"Analyser, recueillir les besoins du client, Rédiger les spécifications fonctionnelles et techniques, Modéliser des datawarehouses / datamarts, Développer les procédures d'alimentation (ETL) et/ou de reporting, Réaliser la recette et les tests, Suivre et mettre en production, Rédiger de la documentation technique, Réaliser des formations auprès des utilisateurs.",indeed
33,BI Developer,allowin,Business Process Outsourcing,Casablanca-Settat,Not Specified,Not Specified,,"Collaboration, Agile",English,2 ans,CDI,Not Specified,"Analyser des données, Développer des tableaux de bord et des rapports, Travailler avec Salesforce, Tableau, Power BI et éventuellement Google Analytics, Soutenir les modèles de prévision pour la conversion des leads et la planification de la capacité de l'équipe, Comprendre parfaitement les tunnels de vente/marketing et les métriques de qualification des leads.",indeed
34,BI Developer,axa,Financial Services,Rabat-Salé-Kénitra,"PowerBI, Microsoft Power platform, PowerShell, MS Graph API, Active Directory","PowerBI, Microsoft Power platform, PowerShell, data modelling, PowerBI Modelling, Visualizing data in dashboards, row level security features, data quality, data consolidation, data correlation, data cleanup, automated data feed process, change structure of reports, PowerBI MS Certified, MS Graph API, Active Directory.",PowerBI MS Certified,"Collaboration, Communication, Agile",English,2 ans,NOT SPECIFIED,Not Specified,"Build and deploy reporting factory solutions based on Power-BI, Build official reports and dashboards for all the products and services in the scope of the reporting factory (aligned to product and service operating models), Maintain, update and provide assistance to key stakeholders from a BI perspective, Work within a multicultural team across many global locations, Work in an agile methodology",google
35,BI Developer,axa,Financial Services,Rabat-Salé-Kénitra,"PowerBI, Microsoft Power platform, PowerShell","PowerBI, Microsoft Power platform, PowerShell, data modelling, row level security, data consolidation, data correlation, data cleaning, automated data feed, report structure evolution.",PowerBI MS Certified,"Teamwork, Collaboration, Agile, Flexibility, Creativity, Ambition, Autonomy, Communication, Organisation",English,2 ans,CDI,Not Specified,"Build and deploy reporting factory solutions based on Power-BI, Build official reports and dashboards for all the products and services in the scope of the reporting factory (aligned to product and service operating models), Maintain, update and provide assistance to key stakeholders from a BI perspective, Work within a multicultural team across many global locations, Work in an agile methodology.",Option Carriere
36,BI Developer,novancy one,Consulting,Rabat-Salé-Kénitra,"PowerBI, Microsoft Power platform, PowerShell, MS Graph API, Active Directory","PowerBI, Microsoft Power platform, PowerShell, data modelling, row level security, data visualization, data cleaning, automated data feed, PowerBI MS Certified, MS Graph API, Active Directory",PowerBI MS Certified,"Organized, Rigorous, Respect deadlines, Capacity to propose solutions, Agility, Communication, Recherche de nouveauté, Respect des règles, Distance émotionnelle, Rationalisme, Ambition, Besoin d'autonomie, Implication au travail","English, French",2 ans,CDI,Not Specified,"Construire et déployer des solutions de l'usine de reporting basées sur Power-BI, Construire des rapports et des tableaux de bord officiels pour tous les produits et services dans le cadre de l'usine de reporting, Maintenir, mettre à jour et fournir une assistance aux principaux intervenants d'un point de vue BI, Travailler au sein d'une équipe multiculturelle à travers de nombreuses implantations mondiales, Travailler dans une méthodologie agile, Certifications PowerBI MS.",Option Carriere
37,BI Developer,alten,Technology and IT Services,Fès-Meknès,"Power BI, DAX, Palenteer, Excel, Powerpoint","Power BI tools, coding (DAX), Palenteer, project management, Excel, Powerpoint, logistics, supply chain, organization, rigor, meeting deadlines, proposing solutions, agility, English, French.",,"Teamwork, Coordination, Communication, Training, Analysis, Synthesis, Autonomy",Not Specified,1 an,CDI,Bac +5,"Tickets management, Data quality monitoring, Evolution of BI programs and developments, Finance Report monitoring, New reports generation, Specific evolutions.",Option Carriere
